theta_2,rho_2,dm
0.8267349088394189,2.14951076298249,1.7281831307465265
0.8267349088394189,2.4802047265182576,1.831473708808789
0.8267349088394189,2.8108986900540254,1.934764286871052
0.8267349088394189,3.141592653589793,2.0380548649333154
1.1574288723751867,-3.141592653589793,0.2821150378748474
1.1574288723751867,-2.8108986900540254,0.3854056159371103
1.1574288723751867,-2.4802047265182576,0.48869619399937325
1.1574288723751867,-2.14951076298249,0.591986772061636
1.1574288723751867,-1.8188167994467224,0.6952773501238986
1.1574288723751867,-1.4881228359109546,0.7985679281861613
1.1574288723751867,-1.157428872375187,0.9018585062484241
1.1574288723751867,-0.8267349088394194,1.005149084310687
1.1574288723751867,-0.4960409453036516,1.1084396623729496
1.1574288723751867,-0.16534698176788387,1.2117302404352128
1.1574288723751867,0.16534698176788387,1.315020818497476
1.1574288723751867,0.4960409453036516,1.418311396559738
1.1574288723751867,0.8267349088394189,1.5216019746220009
1.1574288723751867,1.1574288723751867,1.6248925526842637
1.1574288723751867,1.4881228359109544,1.7281831307465265
1.1574288723751867,1.8188167994467221,1.831473708808789
1.1574288723751867,2.14951076298249,1.934764286871052
1.1574288723751867,2.4802047265182576,2.038054864933315
1.1574288723751867,2.8108986900540254,2.141345442995578
1.1574288723751867,3.141592653589793,2.2446360210578407
1.4881228359109544,-3.141592653589793,0.4886961939993732
1.4881228359109544,-2.8108986900540254,0.591986772061636
1.4881228359109544,-2.4802047265182576,0.6952773501238987
1.4881228359109544,-2.14951076298249,0.7985679281861612
1.4881228359109544,-1.8188167994467224,0.9018585062484242
1.4881228359109544,-1.4881228359109546,1.0051490843106867
1.4881228359109544,-1.157428872375187,1.1084396623729496
1.4881228359109544,-0.8267349088394194,1.2117302404352128
1.4881228359109544,-0.4960409453036516,1.315020818497476
1.4881228359109544,-0.16534698176788387,1.4183113965597383
1.4881228359109544,0.16534698176788387,1.5216019746220009
1.4881228359109544,0.4960409453036516,1.624892552684264
1.4881228359109544,0.8267349088394189,1.7281831307465267
1.4881228359109544,1.1574288723751867,1.831473708808789
1.4881228359109544,1.4881228359109544,1.934764286871052
1.4881228359109544,1.8188167994467221,2.038054864933315
1.4881228359109544,2.14951076298249,2.141345442995578
1.4881228359109544,2.4802047265182576,2.24463602105784
1.4881228359109544,2.8108986900540254,2.347926599120104
1.4881228359109544,3.141592653589793,2.4512171771823668
1.8188167994467221,-3.141592653589793,0.6952773501238987
1.8188167994467221,-2.8108986900540254,0.7985679281861612
1.8188167994467221,-2.4802047265182576,0.9018585062484242
1.8188167994467221,-2.14951076298249,1.0051490843106872
1.8188167994467221,-1.8188167994467224,1.1084396623729496
1.8188167994467221,-1.4881228359109546,1.2117302404352128
1.8188167994467221,-1.157428872375187,1.315020818497476
1.8188167994467221,-0.8267349088394194,1.418311396559738
1.8188167994467221,-0.4960409453036516,1.5216019746220009
1.8188167994467221,-0.16534698176788387,1.624892552684264
1.8188167994467221,0.16534698176788387,1.7281831307465265
1.8188167994467221,0.4960409453036516,1.831473708808789
1.8188167994467221,0.8267349088394189,1.934764286871052
1.8188167994467221,1.1574288723751867,2.0380548649333154
1.8188167994467221,1.4881228359109544,2.141345442995578
1.8188167994467221,1.8188167994467221,2.24463602105784
1.8188167994467221,2.14951076298249,2.347926599120104
1.8188167994467221,2.4802047265182576,2.4512171771823668
1.8188167994467221,2.8108986900540254,2.554507755244629
1.8188167994467221,3.141592653589793,2.657798333306893
2.14951076298249,-3.141592653589793,0.9018585062484245
2.14951076298249,-2.8108986900540254,1.005149084310687
2.14951076298249,-2.4802047265182576,1.1084396623729498
2.14951076298249,-2.14951076298249,1.2117302404352128
2.14951076298249,-1.8188167994467224,1.315020818497476
2.14951076298249,-1.4881228359109546,1.4183113965597383
2.14951076298249,-1.157428872375187,1.5216019746220009
2.14951076298249,-0.8267349088394194,1.624892552684264
