phi,rho,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,mass_half_radius,compactness,final_2m_over_r
3.4906585039886586,0.6981317007977319,0.5,0.0,3.4906585039886586,0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.10113035326331701,2.781880715959285,0.03635323135285616,0.0404521413053268
3.4906585039886586,2.094395102393195,0.5,0.0,3.4906585039886586,2.094395102393195,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.1114358549496914,2.787491662979875,0.03997710788866167,0.04457434197987656
3.4906585039886586,3.4906585039886586,0.5,0.0,3.4906585039886586,3.4906585039886586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.13217264063251685,2.7356441855977973,0.04831499700449321,0.05286905625300674
3.4906585039886586,4.886921905584122,0.5,0.0,3.4906585039886586,4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.16316275753181825,2.598887176308371,0.062781777916033,0.0652651030127273
3.4906585039886586,6.283185307179586,0.5,0.0,3.4906585039886586,6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.18336386611332278,2.647971664532364,0.06924691399434033,0.07334554644532912
4.886921905584122,-6.283185307179586,0.5,0.0,4.886921905584122,-6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.04330153308335791,2.6750637986081123,0.016187102941577894,0.017320613233343163
4.886921905584122,-4.886921905584122,0.5,0.0,4.886921905584122,-4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.03900917688666418,2.8451370866128003,0.01371082506716943,0.015603670754665672
4.886921905584122,-3.490658503988659,0.5,0.0,4.886921905584122,-3.490658503988659,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.031856118514560605,2.781047467934837,0.011454719447207589,0.012742447405824243
4.886921905584122,-2.0943951023931957,0.5,0.0,4.886921905584122,-2.0943951023931957,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.026869383967318968,2.8113277258339644,0.009557542409733933,0.010747753586927587
4.886921905584122,-0.6981317007977319,0.5,0.0,4.886921905584122,-0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.02436207002848181,2.913349392410984,0.008362220505354708,0.009744828011392724
4.886921905584122,0.6981317007977319,0.5,0.0,4.886921905584122,0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.02436207002848181,2.913349392410984,0.008362220505354708,0.009744828011392724
4.886921905584122,2.094395102393195,0.5,0.0,4.886921905584122,2.094395102393195,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.02686938396731952,2.81132772564987,0.009557542410359988,0.010747753586927807
4.886921905584122,3.4906585039886586,0.5,0.0,4.886921905584122,3.4906585039886586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.03185611851456097,2.7810474679053634,0.01145471944732912,0.012742447405824388
4.886921905584122,4.886921905584122,0.5,0.0,4.886921905584122,4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.03900917688666418,2.8451370866128003,0.01371082506716943,0.015603670754665672
4.886921905584122,6.283185307179586,0.5,0.0,4.886921905584122,6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.04330153308335791,2.6750637986081123,0.016187102941577894,0.017320613233343163
6.283185307179586,-6.283185307179586,0.5,0.0,6.283185307179586,-6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.002756079081702381,5.0,0.0005512158163404762,0.0011024316326809524
6.283185307179586,-4.886921905584122,0.5,0.0,6.283185307179586,-4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.002756079081701946,5.0,0.0005512158163403891,0.0011024316326807783
6.283185307179586,-3.490658503988659,0.5,0.0,6.283185307179586,-3.490658503988659,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.002756079081701175,5.0,0.0005512158163402351,0.0011024316326804702
6.283185307179586,-2.0943951023931957,0.5,0.0,6.283185307179586,-2.0943951023931957,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.002756079081699357,5.0,0.0005512158163398714,0.0011024316326797429
6.283185307179586,-0.6981317007977319,0.5,0.0,6.283185307179586,-0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.0027560790816904164,5.0,0.0005512158163380833,0.0011024316326761665
6.283185307179586,0.6981317007977319,0.5,0.0,6.283185307179586,0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.0027560790816904164,5.0,0.0005512158163380833,0.0011024316326761665
6.283185307179586,2.094395102393195,0.5,0.0,6.283185307179586,2.094395102393195,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.002756079081699357,5.0,0.0005512158163398714,0.0011024316326797429
