theta,rho,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,mass_half_radius,compactness,final_2m_over_r
4.886921905584122,-2.0943951023931957,0.5,4.886921905584122,0.39269908169872414,-2.0943951023931957,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.146644693739371,2.7165983851676803,0.053980998641549094,0.0586578774957484
4.886921905584122,-0.6981317007977319,0.5,4.886921905584122,0.39269908169872414,-0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.1334801460735707,2.7145812866282912,0.04917154138322482,0.05339205842942828
4.886921905584122,0.6981317007977319,0.5,4.886921905584122,0.39269908169872414,0.6981317007977319,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.13348014607357173,2.714581284862488,0.049171541415210705,0.05339205842942869
4.886921905584122,2.094395102393195,0.5,4.886921905584122,0.39269908169872414,2.094395102393195,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.14664469373941183,2.71659836025411,0.05398099913661684,0.05865787749576473
4.886921905584122,3.4906585039886586,0.5,4.886921905584122,0.39269908169872414,3.4906585039886586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.173242224183535,2.644516034729734,0.06550999196389448,0.06929688967341399
4.886921905584122,4.886921905584122,0.5,4.886921905584122,0.39269908169872414,4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.21354086301758113,2.663534927405896,0.08017197778050374,0.08541634520703245
4.886921905584122,6.283185307179586,0.5,4.886921905584122,0.39269908169872414,6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.2406807011952068,2.594721092805052,0.09275783122224372,0.09627228047808271
6.283185307179586,-6.283185307179586,0.5,6.283185307179586,0.39269908169872414,-6.283185307179586,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.24068070119518561,2.5947212099926382,0.09275782703293525,0.09627228047807425
6.283185307179586,-4.886921905584122,0.5,6.283185307179586,0.39269908169872414,-4.886921905584122,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.21354086301720038,2.663535650166079,0.0801719560254001,0.08541634520688016
6.283185307179586,-3.490658503988659,0.5,6.283185307179586,0.39269908169872414,-3.490658503988659,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.17324222418313753,2.6445168021871623,0.06550997295228247,0.06929688967325501
6.283185307179586,-2.0943951023931957,0.5,6.283185307179586,0.39269908169872414,-2.0943951023931957,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.14664469373917635,2.7165986935598587,0.05398099251347708,0.05865787749567054
