phi,theta,omega0,theta0,phi0,rho0,A0,xp0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,mass_half_radius,compactness,final_2m_over_r
-2.0943951023931957,4.886921905584122,0.5,4.886921905584122,-2.0943951023931957,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.49896442728774054,2.5976322753689196,0.19208431925449374,0.19958577091509622
-2.0943951023931957,6.283185307179586,0.5,6.283185307179586,-2.0943951023931957,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,0.4989644272875944,2.5976324653044958,0.19208430520947678,0.19958577091503776
-0.6981317007977319,-6.283185307179586,0.5,-6.283185307179586,-0.6981317007977319,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839674027492,2.7309734533064614,0.46023294949315846,0.5027535869610997
-0.6981317007977319,-4.886921905584122,0.5,-4.886921905584122,-0.6981317007977319,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839674018892,2.7309731767256933,0.4602329961031815,0.5027535869607557
-0.6981317007977319,-3.490658503988659,0.5,-3.490658503988659,-0.6981317007977319,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839674003434,2.730972679662388,0.4602330798694491,0.5027535869601374
-0.6981317007977319,-2.0943951023931957,0.5,-2.0943951023931957,-0.6981317007977319,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839673967513,2.7309715236267613,0.46023327468738856,0.5027535869587005
-0.6981317007977319,-0.6981317007977319,0.5,-0.6981317007977319,-0.6981317007977319,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839673790198,2.730965821795036,0.4602342355763657,0.5027535869516079
-0.6981317007977319,0.6981317007977319,0.5,0.6981317007977319,-0.6981317007977319,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839673790198,2.730965821795036,0.4602342355763657,0.5027535869516079
-0.6981317007977319,2.094395102393195,0.5,2.094395102393195,-0.6981317007977319,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839673967513,2.7309715236267613,0.46023327468738856,0.5027535869587005
-0.6981317007977319,3.4906585039886586,0.5,3.4906585039886586,-0.6981317007977319,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839674003434,2.730972679662388,0.4602330798694491,0.5027535869601374
-0.6981317007977319,4.886921905584122,0.5,4.886921905584122,-0.6981317007977319,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839674018892,2.7309731767256933,0.4602329961031815,0.5027535869607557
-0.6981317007977319,6.283185307179586,0.5,6.283185307179586,-0.6981317007977319,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839674027492,2.7309734533064614,0.46023294949315846,0.5027535869610997
0.6981317007977319,-6.283185307179586,0.5,-6.283185307179586,0.6981317007977319,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839674027492,2.7309734533064614,0.46023294949315846,0.5027535869610997
0.6981317007977319,-4.886921905584122,0.5,-4.886921905584122,0.6981317007977319,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839674018892,2.7309731767256933,0.4602329961031815,0.5027535869607557
0.6981317007977319,-3.490658503988659,0.5,-3.490658503988659,0.6981317007977319,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839674003434,2.730972679662388,0.4602330798694491,0.5027535869601374
0.6981317007977319,-2.0943951023931957,0.5,-2.0943951023931957,0.6981317007977319,0.0,0.02,"[0.0, 0.0, 0.0, 0.0]",5.0,0,The solver successfully reached the end of the integration interval.,False,[],5.0,1.2568839673967513,2.7309715236267613,0.46023327468738856,0.5027535869587005
