theta,rho,detJ
2.976245671821909,-0.33069396353576774,6.988696658588613
2.976245671821909,0.33069396353576774,6.988696658547085
2.976245671821909,0.9920818906073032,6.988696659734943
2.976245671821909,1.6534698176788378,6.988696658668341
2.976245671821909,2.3148577447503733,6.988696659822513
2.976245671821909,2.976245671821909,6.988696660475487
2.976245671821909,3.6376335988934443,6.988696661108429
2.976245671821909,4.29902152596498,6.988696660202962
2.976245671821909,4.960409453036515,6.988696660415073
2.976245671821909,5.621797380108051,6.988696660635508
2.976245671821909,6.283185307179586,6.988696660350521
3.6376335988934443,-6.283185307179586,4.041430624808004
3.6376335988934443,-5.621797380108051,4.041430624705309
3.6376335988934443,-4.960409453036515,4.0414306253016035
3.6376335988934443,-4.29902152596498,4.041430624836837
3.6376335988934443,-3.6376335988934447,4.041430625195982
3.6376335988934443,-2.9762456718219092,4.0414306252976875
3.6376335988934443,-2.314857744750374,4.041430625203893
3.6376335988934443,-1.6534698176788387,4.04143062413377
3.6376335988934443,-0.9920818906073032,4.0414306241623255
3.6376335988934443,-0.33069396353576774,4.041430624264458
3.6376335988934443,0.33069396353576774,4.041430623957518
3.6376335988934443,0.9920818906073032,4.041430624475624
3.6376335988934443,1.6534698176788378,4.041430624059912
3.6376335988934443,2.3148577447503733,4.041430624961185
3.6376335988934443,2.976245671821909,4.041430624942376
3.6376335988934443,3.6376335988934443,4.04143062510646
3.6376335988934443,4.29902152596498,4.041430625262707
3.6376335988934443,4.960409453036515,4.041430625036088
3.6376335988934443,5.621797380108051,4.0414306248326595
3.6376335988934443,6.283185307179586,4.041430624846189
4.29902152596498,-6.283185307179586,-5.0044715290281685
4.29902152596498,-5.621797380108051,-5.004471528327666
4.29902152596498,-4.960409453036515,-5.004471528863663
4.29902152596498,-4.29902152596498,-5.004471529445409
4.29902152596498,-3.6376335988934447,-5.004471529565749
4.29902152596498,-2.9762456718219092,-5.004471529130722
4.29902152596498,-2.314857744750374,-5.004471529201202
4.29902152596498,-1.6534698176788387,-5.004471528359383
4.29902152596498,-0.9920818906073032,-5.004471527923215
4.29902152596498,-0.33069396353576774,-5.004471528009721
4.29902152596498,0.33069396353576774,-5.004471528021398
4.29902152596498,0.9920818906073032,-5.004471528384364
4.29902152596498,1.6534698176788378,-5.004471528194466
4.29902152596498,2.3148577447503733,-5.004471528645721
