theta,phi,lambda_phi,lambda_plus,lambda_minus,detJ,gap_active_scale,anisotropy_ratio
6.283185307179586,-2.356194490192345,2.718281828459045,5.43656365691809,0.0,-1.3573475850413473e-15,5.43656365691809,inf
-6.283185307179586,-1.5707963267948966,2.718281828459045,2.7182818284590446,2.7182818284590455,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
-5.497787143782138,-1.5707963267948966,2.718281828459045,2.7182818284590446,2.7182818284590455,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
-4.71238898038469,-1.5707963267948966,2.718281828459045,2.7182818284590446,2.7182818284590455,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
-3.9269908169872414,-1.5707963267948966,2.718281828459045,2.7182818284590446,2.7182818284590455,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
-3.141592653589793,-1.5707963267948966,2.718281828459045,2.7182818284590446,2.7182818284590455,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
-2.356194490192345,-1.5707963267948966,2.718281828459045,2.7182818284590446,2.7182818284590455,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
-1.5707963267948966,-1.5707963267948966,2.718281828459045,2.7182818284590446,2.7182818284590455,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
-0.7853981633974483,-1.5707963267948966,2.718281828459045,2.7182818284590446,2.7182818284590455,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
0.0,-1.5707963267948966,2.718281828459045,2.7182818284590446,2.7182818284590455,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
0.7853981633974483,-1.5707963267948966,2.718281828459045,2.7182818284590446,2.7182818284590455,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
1.5707963267948966,-1.5707963267948966,2.718281828459045,2.7182818284590446,2.7182818284590455,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
2.356194490192344,-1.5707963267948966,2.718281828459045,2.7182818284590446,2.7182818284590455,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
3.141592653589793,-1.5707963267948966,2.718281828459045,2.7182818284590446,2.7182818284590455,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
3.9269908169872423,-1.5707963267948966,2.718281828459045,2.7182818284590446,2.7182818284590455,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
4.71238898038469,-1.5707963267948966,2.718281828459045,2.7182818284590446,2.7182818284590455,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
5.497787143782137,-1.5707963267948966,2.718281828459045,2.7182818284590446,2.7182818284590455,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
6.283185307179586,-1.5707963267948966,2.718281828459045,2.7182818284590446,2.7182818284590455,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
-6.283185307179586,-0.7853981633974483,2.718281828459045,0.0,5.43656365691809,4.524491950137825e-16,5.43656365691809,inf
-5.497787143782138,-0.7853981633974483,2.718281828459045,0.0,5.43656365691809,4.524491950137825e-16,5.43656365691809,inf
-4.71238898038469,-0.7853981633974483,2.718281828459045,0.0,5.43656365691809,4.524491950137825e-16,5.43656365691809,inf
-3.9269908169872414,-0.7853981633974483,2.718281828459045,0.0,5.43656365691809,4.524491950137825e-16,5.43656365691809,inf
-3.141592653589793,-0.7853981633974483,2.718281828459045,0.0,5.43656365691809,4.524491950137825e-16,5.43656365691809,inf
-2.356194490192345,-0.7853981633974483,2.718281828459045,0.0,5.43656365691809,4.524491950137825e-16,5.43656365691809,inf
-1.5707963267948966,-0.7853981633974483,2.718281828459045,0.0,5.43656365691809,4.524491950137825e-16,5.43656365691809,inf
-0.7853981633974483,-0.7853981633974483,2.718281828459045,0.0,5.43656365691809,4.524491950137825e-16,5.43656365691809,inf
0.0,-0.7853981633974483,2.718281828459045,0.0,5.43656365691809,4.524491950137825e-16,5.43656365691809,inf
0.7853981633974483,-0.7853981633974483,2.718281828459045,0.0,5.43656365691809,4.524491950137825e-16,5.43656365691809,inf
1.5707963267948966,-0.7853981633974483,2.718281828459045,0.0,5.43656365691809,4.524491950137825e-16,5.43656365691809,inf
2.356194490192344,-0.7853981633974483,2.718281828459045,0.0,5.43656365691809,4.524491950137825e-16,5.43656365691809,inf
3.141592653589793,-0.7853981633974483,2.718281828459045,0.0,5.43656365691809,4.524491950137825e-16,5.43656365691809,inf
3.9269908169872423,-0.7853981633974483,2.718281828459045,0.0,5.43656365691809,4.524491950137825e-16,5.43656365691809,inf
4.71238898038469,-0.7853981633974483,2.718281828459045,0.0,5.43656365691809,4.524491950137825e-16,5.43656365691809,inf
5.497787143782137,-0.7853981633974483,2.718281828459045,0.0,5.43656365691809,4.524491950137825e-16,5.43656365691809,inf
6.283185307179586,-0.7853981633974483,2.718281828459045,0.0,5.43656365691809,4.524491950137825e-16,5.43656365691809,inf
-6.283185307179586,0.0,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-5.497787143782138,0.0,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-4.71238898038469,0.0,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-3.9269908169872414,0.0,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-3.141592653589793,0.0,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-2.356194490192345,0.0,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-1.5707963267948966,0.0,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-0.7853981633974483,0.0,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
0.0,0.0,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
0.7853981633974483,0.0,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
1.5707963267948966,0.0,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
2.356194490192344,0.0,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
3.141592653589793,0.0,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
3.9269908169872423,0.0,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
4.71238898038469,0.0,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
5.497787143782137,0.0,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
6.283185307179586,0.0,2.718281828459045,2.718281828459045,2.718281828459045,7.38905609893065,0.0,1.0
-6.283185307179586,0.7853981633974483,2.718281828459045,5.43656365691809,0.0,4.524491950137825e-16,5.43656365691809,inf
-5.497787143782138,0.7853981633974483,2.718281828459045,5.43656365691809,0.0,4.524491950137825e-16,5.43656365691809,inf
-4.71238898038469,0.7853981633974483,2.718281828459045,5.43656365691809,0.0,4.524491950137825e-16,5.43656365691809,inf
-3.9269908169872414,0.7853981633974483,2.718281828459045,5.43656365691809,0.0,4.524491950137825e-16,5.43656365691809,inf
-3.141592653589793,0.7853981633974483,2.718281828459045,5.43656365691809,0.0,4.524491950137825e-16,5.43656365691809,inf
-2.356194490192345,0.7853981633974483,2.718281828459045,5.43656365691809,0.0,4.524491950137825e-16,5.43656365691809,inf
-1.5707963267948966,0.7853981633974483,2.718281828459045,5.43656365691809,0.0,4.524491950137825e-16,5.43656365691809,inf
-0.7853981633974483,0.7853981633974483,2.718281828459045,5.43656365691809,0.0,4.524491950137825e-16,5.43656365691809,inf
0.0,0.7853981633974483,2.718281828459045,5.43656365691809,0.0,4.524491950137825e-16,5.43656365691809,inf
0.7853981633974483,0.7853981633974483,2.718281828459045,5.43656365691809,0.0,4.524491950137825e-16,5.43656365691809,inf
1.5707963267948966,0.7853981633974483,2.718281828459045,5.43656365691809,0.0,4.524491950137825e-16,5.43656365691809,inf
2.356194490192344,0.7853981633974483,2.718281828459045,5.43656365691809,0.0,4.524491950137825e-16,5.43656365691809,inf
3.141592653589793,0.7853981633974483,2.718281828459045,5.43656365691809,0.0,4.524491950137825e-16,5.43656365691809,inf
3.9269908169872423,0.7853981633974483,2.718281828459045,5.43656365691809,0.0,4.524491950137825e-16,5.43656365691809,inf
4.71238898038469,0.7853981633974483,2.718281828459045,5.43656365691809,0.0,4.524491950137825e-16,5.43656365691809,inf
5.497787143782137,0.7853981633974483,2.718281828459045,5.43656365691809,0.0,4.524491950137825e-16,5.43656365691809,inf
6.283185307179586,0.7853981633974483,2.718281828459045,5.43656365691809,0.0,4.524491950137825e-16,5.43656365691809,inf
-6.283185307179586,1.5707963267948966,2.718281828459045,2.7182818284590455,2.7182818284590446,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
-5.497787143782138,1.5707963267948966,2.718281828459045,2.7182818284590455,2.7182818284590446,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
-4.71238898038469,1.5707963267948966,2.718281828459045,2.7182818284590455,2.7182818284590446,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
-3.9269908169872414,1.5707963267948966,2.718281828459045,2.7182818284590455,2.7182818284590446,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
-3.141592653589793,1.5707963267948966,2.718281828459045,2.7182818284590455,2.7182818284590446,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
-2.356194490192345,1.5707963267948966,2.718281828459045,2.7182818284590455,2.7182818284590446,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
-1.5707963267948966,1.5707963267948966,2.718281828459045,2.7182818284590455,2.7182818284590446,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
-0.7853981633974483,1.5707963267948966,2.718281828459045,2.7182818284590455,2.7182818284590446,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
0.0,1.5707963267948966,2.718281828459045,2.7182818284590455,2.7182818284590446,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
0.7853981633974483,1.5707963267948966,2.718281828459045,2.7182818284590455,2.7182818284590446,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
1.5707963267948966,1.5707963267948966,2.718281828459045,2.7182818284590455,2.7182818284590446,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
2.356194490192344,1.5707963267948966,2.718281828459045,2.7182818284590455,2.7182818284590446,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
3.141592653589793,1.5707963267948966,2.718281828459045,2.7182818284590455,2.7182818284590446,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
3.9269908169872423,1.5707963267948966,2.718281828459045,2.7182818284590455,2.7182818284590446,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
4.71238898038469,1.5707963267948966,2.718281828459045,2.7182818284590455,2.7182818284590446,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
5.497787143782137,1.5707963267948966,2.718281828459045,2.7182818284590455,2.7182818284590446,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
6.283185307179586,1.5707963267948966,2.718281828459045,2.7182818284590455,2.7182818284590446,-7.38905609893065,8.881784197001252e-16,1.0000000000000002
-6.283185307179586,2.356194490192344,2.718281828459045,0.0,5.43656365691809,-1.4482947923088944e-14,5.43656365691809,inf
-5.497787143782138,2.356194490192344,2.718281828459045,0.0,5.43656365691809,-1.4482947923088944e-14,5.43656365691809,inf
-4.71238898038469,2.356194490192344,2.718281828459045,0.0,5.43656365691809,-1.4482947923088944e-14,5.43656365691809,inf
-3.9269908169872414,2.356194490192344,2.718281828459045,0.0,5.43656365691809,-1.4482947923088944e-14,5.43656365691809,inf
-3.141592653589793,2.356194490192344,2.718281828459045,0.0,5.43656365691809,-1.4482947923088944e-14,5.43656365691809,inf
-2.356194490192345,2.356194490192344,2.718281828459045,0.0,5.43656365691809,-1.4482947923088944e-14,5.43656365691809,inf
-1.5707963267948966,2.356194490192344,2.718281828459045,0.0,5.43656365691809,-1.4482947923088944e-14,5.43656365691809,inf
-0.7853981633974483,2.356194490192344,2.718281828459045,0.0,5.43656365691809,-1.4482947923088944e-14,5.43656365691809,inf
0.0,2.356194490192344,2.718281828459045,0.0,5.43656365691809,-1.4482947923088944e-14,5.43656365691809,inf
0.7853981633974483,2.356194490192344,2.718281828459045,0.0,5.43656365691809,-1.4482947923088944e-14,5.43656365691809,inf
1.5707963267948966,2.356194490192344,2.718281828459045,0.0,5.43656365691809,-1.4482947923088944e-14,5.43656365691809,inf
2.356194490192344,2.356194490192344,2.718281828459045,0.0,5.43656365691809,-1.4482947923088944e-14,5.43656365691809,inf
3.141592653589793,2.356194490192344,2.718281828459045,0.0,5.43656365691809,-1.4482947923088944e-14,5.43656365691809,inf
3.9269908169872423,2.356194490192344,2.718281828459045,0.0,5.43656365691809,-1.4482947923088944e-14,5.43656365691809,inf
4.71238898038469,2.356194490192344,2.718281828459045,0.0,5.43656365691809,-1.4482947923088944e-14,5.43656365691809,inf
5.497787143782137,2.356194490192344,2.718281828459045,0.0,5.43656365691809,-1.4482947923088944e-14,5.43656365691809,inf
6.283185307179586,2.356194490192344,2.718281828459045,0.0,5.43656365691809,-1.4482947923088944e-14,5.43656365691809,inf
-6.283185307179586,3.141592653589793,2.718281828459045,2.7182818284590446,2.7182818284590455,7.38905609893065,8.881784197001252e-16,1.0000000000000002
-5.497787143782138,3.141592653589793,2.718281828459045,2.7182818284590446,2.7182818284590455,7.38905609893065,8.881784197001252e-16,1.0000000000000002
-4.71238898038469,3.141592653589793,2.718281828459045,2.7182818284590446,2.7182818284590455,7.38905609893065,8.881784197001252e-16,1.0000000000000002
-3.9269908169872414,3.141592653589793,2.718281828459045,2.7182818284590446,2.7182818284590455,7.38905609893065,8.881784197001252e-16,1.0000000000000002
-3.141592653589793,3.141592653589793,2.718281828459045,2.7182818284590446,2.7182818284590455,7.38905609893065,8.881784197001252e-16,1.0000000000000002
-2.356194490192345,3.141592653589793,2.718281828459045,2.7182818284590446,2.7182818284590455,7.38905609893065,8.881784197001252e-16,1.0000000000000002
-1.5707963267948966,3.141592653589793,2.718281828459045,2.7182818284590446,2.7182818284590455,7.38905609893065,8.881784197001252e-16,1.0000000000000002
-0.7853981633974483,3.141592653589793,2.718281828459045,2.7182818284590446,2.7182818284590455,7.38905609893065,8.881784197001252e-16,1.0000000000000002
0.0,3.141592653589793,2.718281828459045,2.7182818284590446,2.7182818284590455,7.38905609893065,8.881784197001252e-16,1.0000000000000002
0.7853981633974483,3.141592653589793,2.718281828459045,2.7182818284590446,2.7182818284590455,7.38905609893065,8.881784197001252e-16,1.0000000000000002
1.5707963267948966,3.141592653589793,2.718281828459045,2.7182818284590446,2.7182818284590455,7.38905609893065,8.881784197001252e-16,1.0000000000000002
2.356194490192344,3.141592653589793,2.718281828459045,2.7182818284590446,2.7182818284590455,7.38905609893065,8.881784197001252e-16,1.0000000000000002
3.141592653589793,3.141592653589793,2.718281828459045,2.7182818284590446,2.7182818284590455,7.38905609893065,8.881784197001252e-16,1.0000000000000002
3.9269908169872423,3.141592653589793,2.718281828459045,2.7182818284590446,2.7182818284590455,7.38905609893065,8.881784197001252e-16,1.0000000000000002
4.71238898038469,3.141592653589793,2.718281828459045,2.7182818284590446,2.7182818284590455,7.38905609893065,8.881784197001252e-16,1.0000000000000002
5.497787143782137,3.141592653589793,2.718281828459045,2.7182818284590446,2.7182818284590455,7.38905609893065,8.881784197001252e-16,1.0000000000000002
6.283185307179586,3.141592653589793,2.718281828459045,2.7182818284590446,2.7182818284590455,7.38905609893065,8.881784197001252e-16,1.0000000000000002
-6.283185307179586,3.9269908169872423,2.718281828459045,5.43656365691809,0.0,-1.0863354362978683e-14,5.43656365691809,inf
-5.497787143782138,3.9269908169872423,2.718281828459045,5.43656365691809,0.0,-1.0863354362978683e-14,5.43656365691809,inf
-4.71238898038469,3.9269908169872423,2.718281828459045,5.43656365691809,0.0,-1.0863354362978683e-14,5.43656365691809,inf
-3.9269908169872414,3.9269908169872423,2.718281828459045,5.43656365691809,0.0,-1.0863354362978683e-14,5.43656365691809,inf
-3.141592653589793,3.9269908169872423,2.718281828459045,5.43656365691809,0.0,-1.0863354362978683e-14,5.43656365691809,inf
-2.356194490192345,3.9269908169872423,2.718281828459045,5.43656365691809,0.0,-1.0863354362978683e-14,5.43656365691809,inf
-1.5707963267948966,3.9269908169872423,2.718281828459045,5.43656365691809,0.0,-1.0863354362978683e-14,5.43656365691809,inf
-0.7853981633974483,3.9269908169872423,2.718281828459045,5.43656365691809,0.0,-1.0863354362978683e-14,5.43656365691809,inf
0.0,3.9269908169872423,2.718281828459045,5.43656365691809,0.0,-1.0863354362978683e-14,5.43656365691809,inf
0.7853981633974483,3.9269908169872423,2.718281828459045,5.43656365691809,0.0,-1.0863354362978683e-14,5.43656365691809,inf
1.5707963267948966,3.9269908169872423,2.718281828459045,5.43656365691809,0.0,-1.0863354362978683e-14,5.43656365691809,inf
2.356194490192344,3.9269908169872423,2.718281828459045,5.43656365691809,0.0,-1.0863354362978683e-14,5.43656365691809,inf
3.141592653589793,3.9269908169872423,2.718281828459045,5.43656365691809,0.0,-1.0863354362978683e-14,5.43656365691809,inf
