var1,var2,E_theta_i,E_theta_j,E_theta_k,E_phi_i,E_phi_j,E_phi_k
-6.156252270670907,0.3173325912716969,0.7794603000502968,-0.573904459976043,0.2511479871810805,0.5929079290546414,0.805270257531058,0.0
-6.156252270670907,0.4442656277803749,0.6103426352664723,-0.7512699622045793,0.2511479871810805,0.7761464642917569,0.6305526670845223,0.0
-6.156252270670907,0.5711986642890539,0.4021004223757254,-0.8804771086519825,0.2511479871810805,0.9096319953545188,0.4154150130018855,0.0
-6.156252270670907,0.6981317007977319,0.16808252807254898,-0.9532433856532301,0.2511479871810805,0.9848077530122081,0.1736481776669303,0.0
-6.156252270670907,0.8250647373064108,-0.07670989282524637,-0.9649042858634378,0.2511479871810805,0.9968547759519423,-0.07924995685678932,0.0
-6.156252270670907,0.9519977738150889,-0.3165850103614492,-0.9147123152933565,0.2511479871810805,0.9450008187146685,-0.32706796331742166,0.0
-6.156252270670907,1.0789308103237678,-0.5361662064965886,-0.8058849096154793,0.2511479871810805,0.8325698546347708,-0.5539200638661109,0.0
-6.156252270670907,1.2058638468324459,-0.7213777562605165,-0.6453981881810906,0.25114798718108045,0.6667690005162916,-0.7452644496757546,0.0
-6.156252270670907,1.3327968833411248,-0.8603471182805809,-0.4435397666514153,0.2511479871810805,0.45822652172740974,-0.8888354486549237,0.0
-6.156252270670907,1.4597299198498028,-0.944165995519054,-0.21324929411467147,0.2511479871810805,0.2203105327865408,-0.9754297868854069,0.0
-6.156252270670907,1.5866629563584818,-0.967461380249952,0.030711012027445153,0.2511479871810805,-0.0317279334980683,-0.9994965423831852,0.0
-6.156252270670907,1.7135959928671598,-0.928739977809081,0.2727026625357366,0.2511479871810805,-0.28173255684142945,-0.9594929736144976,0.0
-6.156252270670907,1.8405290293758387,-0.8304839306604088,0.4972133641101466,0.2511479871810805,-0.5136773915734069,-0.8579834132349768,0.0
-6.156252270670907,1.9674620658845168,-0.6789917066174886,0.689851397678922,0.2511479871810805,-0.7126941713788626,-0.7014748877063215,0.0
-6.156252270670907,2.0943951023931966,-0.48397435069817596,0.8382681649694033,0.25114798718108045,-0.8660254037844398,-0.499999999999998,0.0
-6.156252270670907,2.2213281389018746,-0.2579329819174028,0.932949765729157,0.2511479871810805,-0.9638421585599424,-0.26647381369003376,0.0
-6.156252270670907,2.3482611754105527,-0.015357439090303515,0.9678268634417415,0.25114798718108045,-0.999874127673875,-0.015865963834807595,0.0
-6.156252270670907,2.4751942119192307,0.2282025554689367,0.9406637455607285,0.2511479871810805,-0.9718115683235419,0.23575893550942661,0.0
-6.156252270670907,2.6021272484279105,0.45713417353328123,0.8532016384905361,0.2511479871810805,-0.8814533634475811,0.4722710747726844,0.0
-6.156252270670907,2.7290602849365886,0.6567623038019326,0.7110470904515889,0.2511479871810805,-0.7345917086575325,0.6785094115571328,0.0
-6.156252270670907,2.8559933214452666,0.8142902646490384,0.5233125771780099,0.2511479871810805,-0.5406408174555976,0.8412535328311811,0.0
-6.156252270670907,2.9829263579539447,0.9196201046515322,0.30203236855608173,0.2511479871810805,-0.3120334456984879,0.9500711177409451,0.0
-6.156252270670907,3.1098593944626245,0.9659999075018257,0.06139110066903672,0.2511479871810805,-0.06342391965656274,0.9979866764718845,0.0
-6.156252270670907,3.2367924309713025,0.9504566073792522,-0.18318549621630426,0.2511479871810805,0.18925124436041102,0.9819286972627066,0.0
-6.156252270670907,3.3637254674799806,0.873986570190842,-0.4160194270234745,0.25114798718108045,0.4297949120891715,0.9029265382866212,0.0
-6.156252270670907,3.4906585039886586,0.74149172392891,-0.6221854320697526,0.25114798718108045,0.6427876096865385,0.7660444431189787,0.0
-6.156252270670907,3.6175915404973384,0.5614653323554236,-0.7884677349758236,0.2511479871810805,0.8145759520503366,0.5800569095711969,0.0
-6.156252270670907,3.7445245770060165,0.34544755473610395,-0.9042072082557948,0.2511479871810805,0.9341478602651069,0.35688622159187133,0.0
-6.156252270670907,3.8714576135146945,0.10728569165929347,-0.9619846510730193,0.2511479871810805,0.9938384644612541,0.11083819990101129,0.0
-6.156252270670907,3.9983906500233743,-0.13775346289606094,-0.9580963792829174,0.2511479871810805,0.9898214418809325,-0.14231483827328745,0.0
