phi,rho,detJ,rankJ
-1.1780972450961724,6.283185307179586,-14.202619362158782,4
-0.7853981633974483,-6.283185307179586,0.0,3
-0.7853981633974483,-5.890486225480862,0.0,3
-0.7853981633974483,-5.497787143782138,0.0,3
-0.7853981633974483,-5.105088062083414,0.0,3
-0.7853981633974483,-4.71238898038469,0.0,3
-0.7853981633974483,-4.319689898685965,0.0,3
-0.7853981633974483,-3.9269908169872414,0.0,3
-0.7853981633974483,-3.5342917352885173,0.0,3
-0.7853981633974483,-3.141592653589793,0.0,3
-0.7853981633974483,-2.748893571891069,0.0,3
-0.7853981633974483,-2.356194490192345,0.0,3
-0.7853981633974483,-1.9634954084936207,0.0,3
-0.7853981633974483,-1.5707963267948966,0.0,3
-0.7853981633974483,-1.1780972450961724,0.0,3
-0.7853981633974483,-0.7853981633974483,0.0,3
-0.7853981633974483,-0.39269908169872414,0.0,3
-0.7853981633974483,0.0,0.0,3
-0.7853981633974483,0.39269908169872414,0.0,3
-0.7853981633974483,0.7853981633974483,0.0,3
-0.7853981633974483,1.1780972450961724,0.0,3
-0.7853981633974483,1.5707963267948966,0.0,3
-0.7853981633974483,1.9634954084936207,0.0,3
-0.7853981633974483,2.356194490192345,0.0,3
-0.7853981633974483,2.748893571891069,0.0,3
-0.7853981633974483,3.141592653589793,0.0,3
-0.7853981633974483,3.5342917352885173,0.0,3
-0.7853981633974483,3.9269908169872414,0.0,3
-0.7853981633974483,4.319689898685965,0.0,3
-0.7853981633974483,4.71238898038469,0.0,3
-0.7853981633974483,5.105088062083414,0.0,3
-0.7853981633974483,5.497787143782138,0.0,3
-0.7853981633974483,5.890486225480862,0.0,3
-0.7853981633974483,6.283185307179586,0.0,3
-0.39269908169872414,-6.283185307179586,14.202619362158783,4
-0.39269908169872414,-5.890486225480862,14.202619362158787,4
-0.39269908169872414,-5.497787143782138,14.20261936215878,4
