theta,phi,rho,norm_dtheta,norm_dphi,norm_drho,cos_theta_phi,cos_theta_rho,cos_phi_rho
-6.283185307179586,-5.301437602932776,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,-3.3003498771899936e-32,0.9238795325112864,-2.750291564324995e-32
-6.283185307179586,-5.105088062083414,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,-3.850408190054993e-32,0.7071067811865478,8.250874692974984e-33
-6.283185307179586,-4.908738521234052,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,-1.6501749385949968e-32,0.38268343236508984,-1.6501749385949968e-32
-6.283185307179586,-4.71238898038469,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,1.9762569013116263e-33,-3.6739403974420594e-16,4.4992793479855734e-32
-6.283185307179586,-4.516039439535327,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,5.500583128649989e-33,-0.38268343236509045,-2.7502915643249947e-33
-6.283185307179586,-4.319689898685965,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,0.0,-0.7071067811865482,-2.3377478296762455e-32
-6.283185307179586,-4.123340357836604,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,5.500583128649989e-33,-0.9238795325112866,-1.6501749385949968e-32
-6.283185307179586,-3.9269908169872414,-3.141592653589793,2.1170000166126752,2.1170000166126752,2.1170000166126752,-4.40046650291999e-32,-0.9999999999999998,-1.1001166257299975e-32
-6.283185307179586,-3.730641276137879,-3.141592653589793,2.1170000166126752,2.1170000166126752,2.1170000166126752,-4.40046650291999e-32,-0.9238795325112863,-3.025320720757493e-32
-6.283185307179586,-3.5342917352885173,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,-3.3003498771899936e-32,-0.7071067811865474,-2.750291564324995e-32
-6.283185307179586,-3.3379421944391554,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,-3.850408190054993e-32,-0.38268343236508995,-2.2002332514599957e-32
-6.283185307179586,-3.141592653589793,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,1.598572627727439e-32,2.4492935982947064e-16,2.999519565323715e-32
-6.283185307179586,-2.945243112740431,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,1.6501749385949968e-32,0.3826834323650904,3.3003498771899936e-32
-6.283185307179586,-2.748893571891069,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,-1.6501749385949968e-32,0.7071067811865477,-2.3377478296762455e-32
-6.283185307179586,-2.552544031041707,-3.141592653589793,2.1170000166126752,2.1170000166126752,2.1170000166126752,3.3003498771899925e-32,0.9238795325112865,1.375145782162497e-32
-6.283185307179586,-2.356194490192345,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,-4.4004665029199915e-32,1.0,0.0
-6.283185307179586,-2.1598449493429825,-3.141592653589793,2.1170000166126752,2.1170000166126752,2.1170000166126752,-4.40046650291999e-32,0.9238795325112863,-3.025320720757493e-32
-6.283185307179586,-1.9634954084936207,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,-8.250874692974984e-33,0.7071067811865474,-2.7502915643249947e-33
-6.283185307179586,-1.7671458676442586,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,-1.1001166257299979e-32,0.38268343236508956,-2.2002332514599957e-32
-6.283185307179586,-1.5707963267948966,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,-1.4009469375962765e-32,-1.224646799147353e-16,1.4997597826618576e-32
-6.283185307179586,-1.3744467859455345,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,2.2002332514599957e-32,-0.3826834323650899,1.6501749385949968e-32
-6.283185307179586,-1.1780972450961724,-3.141592653589793,2.117000016612675,2.117000016612675,2.117000016612675,5.500583128649989e-33,-0.7071067811865476,-4.2629519247037417e-32
-6.283185307179586,-0.9817477042468103,-3.141592653589793,2.1170000166126752,2.1170000166126752,2.1170000166126752,3.850408190054991e-32,-0.9238795325112865,-1.1001166257299975e-32
