seed_id,omega,theta,phi,rho,regularity_ok,final_mass,mass_half_radius,mass_90_radius,integrated_R
theta_rho_slice_55,0.5,3.141592653589793,-1.5707963267948966,-4.71238898038469,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_56,0.5,3.141592653589793,-1.5707963267948966,-3.141592653589793,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_57,0.5,3.141592653589793,-1.5707963267948966,-1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_58,0.5,3.141592653589793,-1.5707963267948966,0.0,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_59,0.5,3.141592653589793,-1.5707963267948966,1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_60,0.5,3.141592653589793,-1.5707963267948966,3.141592653589793,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_61,0.5,3.141592653589793,-1.5707963267948966,4.71238898038469,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_62,0.5,3.141592653589793,-1.5707963267948966,6.283185307179586,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_63,0.5,4.71238898038469,-1.5707963267948966,-6.283185307179586,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_64,0.5,4.71238898038469,-1.5707963267948966,-4.71238898038469,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_65,0.5,4.71238898038469,-1.5707963267948966,-3.141592653589793,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_66,0.5,4.71238898038469,-1.5707963267948966,-1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_67,0.5,4.71238898038469,-1.5707963267948966,0.0,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_68,0.5,4.71238898038469,-1.5707963267948966,1.5707963267948966,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
theta_rho_slice_69,0.5,4.71238898038469,-1.5707963267948966,3.141592653589793,True,0.1081724783796303,14.670099999999731,19.000100000000174,0.006919589880281697
