success,reason,m,r,omega,A0_base
True,completed,3.8498937464811607,20.00010000000033,0.42105263157894735,0.13
True,completed,4.52543190704386,20.00010000000033,0.42105263157894735,0.14
True,completed,5.273787611967481,20.00010000000033,0.42105263157894735,0.15000000000000002
True,completed,6.098246562530182,20.00010000000033,0.42105263157894735,0.16
True,completed,7.0014573593099065,20.00010000000033,0.42105263157894735,0.17
True,completed,7.98552717503216,20.00010000000033,0.42105263157894735,0.18000000000000002
True,completed,9.052166217235072,20.00010000000033,0.42105263157894735,0.19
False,horizon,9.895457047572917,19.75010000000029,0.42105263157894735,0.2
True,completed,0.03516695127403472,20.00010000000033,0.631578947368421,0.01
True,completed,0.1396970673891171,20.00010000000033,0.631578947368421,0.02
True,completed,0.31130415326945693,20.00010000000033,0.631578947368421,0.03
True,completed,0.5478086309489574,20.00010000000033,0.631578947368421,0.04
True,completed,0.8484876429601708,20.00010000000033,0.631578947368421,0.05
True,completed,1.214841611555784,20.00010000000033,0.631578947368421,0.060000000000000005
True,completed,1.6507666783159678,20.00010000000033,0.631578947368421,0.06999999999999999
True,completed,2.162316605907008,20.00010000000033,0.631578947368421,0.08
True,completed,2.7571895965371738,20.00010000000033,0.631578947368421,0.09
True,completed,3.444000709650781,20.00010000000033,0.631578947368421,0.09999999999999999
True,completed,4.231416600578868,20.00010000000033,0.631578947368421,0.11
True,completed,5.127324525904718,20.00010000000033,0.631578947368421,0.12
True,completed,6.138272014385453,20.00010000000033,0.631578947368421,0.13
True,completed,7.26933233231115,20.00010000000033,0.631578947368421,0.14
True,completed,8.524345284946714,20.00010000000033,0.631578947368421,0.15000000000000002
True,completed,9.906323506425629,20.00010000000033,0.631578947368421,0.16
False,horizon,4.565785263344674e+37,18.420100000000083,0.631578947368421,0.17
False,horizon,8.495331475429648,16.99009999999986,0.631578947368421,0.18000000000000002
False,horizon,7.891851813310701,15.780099999999708,0.631578947368421,0.19
False,horizon,1.1590675567028454e+40,14.74009999999973,0.631578947368421,0.2
True,completed,0.0535107355981618,20.00010000000033,0.8421052631578947,0.01
True,completed,0.21192304494123093,20.00010000000033,0.8421052631578947,0.02
True,completed,0.4708689188267448,20.00010000000033,0.8421052631578947,0.03
True,completed,0.8277364267542022,20.00010000000033,0.8421052631578947,0.04
True,completed,1.2845741274373734,20.00010000000033,0.8421052631578947,0.05
True,completed,1.8489144284718557,20.00010000000033,0.8421052631578947,0.060000000000000005
True,completed,2.5330817902515483,20.00010000000033,0.8421052631578947,0.06999999999999999
True,completed,3.352546208363174,20.00010000000033,0.8421052631578947,0.08
True,completed,4.32362760129521,20.00010000000033,0.8421052631578947,0.09
True,completed,5.4611049865647425,20.00010000000033,0.8421052631578947,0.09999999999999999
True,completed,6.77665340240265,20.00010000000033,0.8421052631578947,0.11
True,completed,8.278704700007848,20.00010000000033,0.8421052631578947,0.12
True,completed,9.973366730430632,20.00010000000033,0.8421052631578947,0.13
False,horizon,8.99547071548313,17.990100000000016,0.8421052631578947,0.14
False,horizon,3.3027576524224818e+37,16.35009999999976,0.8421052631578947,0.15000000000000002
False,horizon,1.7727965580446193e+56,14.990099999999725,0.8421052631578947,0.16
False,horizon,6.915089613283575,13.83009999999975,0.8421052631578947,0.17
False,horizon,6.930692289067257e+23,12.85009999999977,0.8421052631578947,0.18000000000000002
False,horizon,5.999079419549959,11.990099999999789,0.8421052631578947,0.19
