r,omega,theta,phi,rho,mass
3.3001000000000005,-3.4297076856067843,0.0,0.0,0.0,0.00080723242176664
3.3101000000000003,-3.429815380581517,0.0,0.0,0.0,0.0008145231097059073
3.3201000000000005,-3.4299234055655545,0.0,0.0,0.0,0.0008218569302768325
3.3301000000000003,-3.4300317605966515,0.0,0.0,0.0,0.0008292340005206047
3.3401,-3.43014044571273,0.0,0.0,0.0,0.0008366544373542386
3.3501000000000003,-3.4302494609518797,0.0,0.0,0.0,0.0008441183575705724
3.3601,-3.4303588063523565,0.0,0.0,0.0,0.0008516258778382664
3.3701000000000003,-3.4304684819525844,0.0,0.0,0.0,0.0008591771147018067
3.3801,-3.4305784877911543,0.0,0.0,0.0,0.0008667721845815014
3.3901000000000003,-3.430688823906823,0.0,0.0,0.0,0.0008744112037734836
3.4001,-3.430799490338517,0.0,0.0,0.0,0.0008820942884497091
3.4101000000000004,-3.430910487125327,0.0,0.0,0.0,0.0008898215546579585
3.4201,-3.431021814306513,0.0,0.0,0.0,0.0008975931183218345
3.4301000000000004,-3.431133471921502,0.0,0.0,0.0,0.0009054090952407652
3.4401,-3.4312454600098867,0.0,0.0,0.0,0.0009132696010900011
3.4501000000000004,-3.4313577786114284,0.0,0.0,0.0,0.0009211747514206174
3.4601,-3.4314704277660546,0.0,0.0,0.0,0.0009291246616595123
3.4701000000000004,-3.4315834075138603,0.0,0.0,0.0,0.0009371194471094082
3.4801,-3.4316967178951083,0.0,0.0,0.0,0.0009451592229488505
3.4901000000000004,-3.4318103589502273,0.0,0.0,0.0,0.0009532441042322092
3.5001,-3.4319243307198146,0.0,0.0,0.0,0.0009613742058896767
3.5101000000000004,-3.4320386332446327,0.0,0.0,0.0,0.0009695496427272712
3.5201000000000002,-3.4321532665656136,0.0,0.0,0.0,0.0009777705294268327
3.5301000000000005,-3.4322682307238543,0.0,0.0,0.0,0.0009860369805460255
3.5401000000000002,-3.4323835257606206,0.0,0.0,0.0,0.0009943491105183372
3.5501000000000005,-3.4324991517173444,0.0,0.0,0.0,0.0010027070336530806
3.5601000000000003,-3.432615108635625,0.0,0.0,0.0,0.0010111108641353904
3.5701000000000005,-3.4327313965572293,0.0,0.0,0.0,0.0010195607160262258
