phi,theta,slice_name,omega0,theta0,phi0,rho0,j_ext,gamma_host,A0,xp0,psi0,r_max,status,status_message,terminated_early,horizon_event_radii,r_final,final_mass,final_2m_over_r,psi_final,psi_min,psi_max,probe_response_ratio,probe_boundary_delta,core_mean_abs_psi,outer_mean_abs_psi,localization_ratio,sample_count
2.6927937030769655,6.283185307179586,phi_theta,0.5,6.283185307179586,2.6927937030769655,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,1.7636123030456645,0.17636123030456646,0.12014163603800304,0.1,0.12014163603800304,1.2014163603800303,0.020141636038003036,0.10000217352204094,0.11629848290423044,0.8598751335766848,190
4.487989505128276,-6.283185307179586,phi_theta,0.5,-6.283185307179586,4.487989505128276,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8186261844396099,0.08186261844396099,0.11828816168703325,0.1,0.11828816168703325,1.1828816168703324,0.018288161687033247,0.10000222997764721,0.1147503995157909,0.871476094197701,176
4.487989505128276,-4.487989505128276,phi_theta,0.5,-4.487989505128276,4.487989505128276,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8186261844404265,0.08186261844404265,0.11828816168703354,0.1,0.11828816168703354,1.1828816168703353,0.01828816168703354,0.10000222996217761,0.1147503963101386,0.8714761184083342,176
4.487989505128276,-2.6927937030769655,phi_theta,0.5,-2.6927937030769655,4.487989505128276,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8186261844422875,0.08186261844422875,0.11828816168703375,0.1,0.11828816168703375,1.1828816168703375,0.018288161687033747,0.1000022299261897,0.11475038885235371,0.8714761747331412,176
4.487989505128276,-0.8975979010256552,phi_theta,0.5,-0.8975979010256552,4.487989505128276,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8186261844515597,0.08186261844515597,0.11828816168703546,0.1,0.11828816168703546,1.1828816168703544,0.018288161687035454,0.10000222974840262,0.1147503520092271,0.8714764529904135,176
4.487989505128276,0.8975979010256552,phi_theta,0.5,0.8975979010256552,4.487989505128276,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8186261844515518,0.08186261844515517,0.11828816168703557,0.1,0.11828816168703557,1.1828816168703555,0.018288161687035565,0.10000222974840209,0.11475035201020363,0.8714764529829927,176
4.487989505128276,2.6927937030769655,phi_theta,0.5,2.6927937030769655,4.487989505128276,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8186261844422839,0.08186261844422839,0.11828816168703371,0.1,0.11828816168703371,1.182881616870337,0.018288161687033705,0.10000222992618922,0.11475038885238639,0.8714761747328889,176
4.487989505128276,4.487989505128276,phi_theta,0.5,4.487989505128276,4.487989505128276,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8186261844404067,0.08186261844404066,0.11828816168703349,0.1,0.11828816168703349,1.1828816168703349,0.018288161687033483,0.10000222996217961,0.1147503963104337,0.8714761184061104,176
4.487989505128276,6.283185307179586,phi_theta,0.5,6.283185307179586,4.487989505128276,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.8186261844396473,0.08186261844396472,0.11828816168703332,0.1,0.11828816168703332,1.182881616870333,0.018288161687033316,0.10000222997764734,0.1147503995147116,0.8714760942058989,176
6.283185307179586,-6.283185307179586,phi_theta,0.5,-6.283185307179586,6.283185307179586,0.0,0.0,0.1,0.005,"[0.0, 0.01, 0.01, 0.0]",0.1,20.0,0,The solver successfully reached the end of the integration interval.,False,[],20.0,0.5516028124938972,0.05516028124938972,0.1178392944695693,0.1,0.1178392944695693,1.178392944695693,0.017839294469569292,0.10000081938806689,0.11520309977920908,0.8680393112661212,56
