family,function_class,theta,phi,rho,theta_label,phi_label,rho_label,beta,gamma,delta,R,J_ang_direct,J_ang_formula,formula_abs_error,vacuum_hit,sign_flip_hit,singular_sheet_hit
lifted_chart_linear,L,0.0,-1.5707963267948966,3.141592653589793,0,-pi/2,pi,0.0,-0.7068583470577035,1.5707963267948966,1.7225126481618322,0.040755409378533926,0.04075540937853392,6.938893903907228e-18,False,False,False
lifted_chart_linear,L,0.0,-1.5707963267948966,4.71238898038469,0,-pi/2,3pi/2,0.0,-0.7068583470577035,2.356194490192345,2.4599392672214315,0.008118668014030645,0.008118668014030645,0.0,False,False,False
lifted_chart_linear,L,0.0,-1.5707963267948966,6.283185307179586,0,-pi/2,2pi,0.0,-0.7068583470577035,3.141592653589793,3.220132469929538,7.34656504739407e-05,7.346565047394062e-05,8.131516293641283e-20,False,False,False
lifted_chart_linear,L,0.0,-0.7853981633974483,-6.283185307179586,0,-pi/4,-2pi,0.0,-0.3534291735288517,-3.141592653589793,3.161410536736829,4.862292538543925e-06,4.862292538543925e-06,0.0,False,False,False
lifted_chart_linear,L,0.0,-0.7853981633974483,-4.71238898038469,0,-pi/4,-3pi/2,0.0,-0.3534291735288517,-2.356194490192345,2.382554229459227,0.010325698137717955,0.010325698137717956,1.734723475976807e-18,False,False,False
lifted_chart_linear,L,0.0,-0.7853981633974483,-3.141592653589793,0,-pi/4,-pi,0.0,-0.3534291735288517,-1.5707963267948966,1.610066234964769,0.04766370674856499,0.04766370674856499,0.0,False,False,False
lifted_chart_linear,L,0.0,-0.7853981633974483,-1.5707963267948966,0,-pi/4,-pi/2,0.0,-0.3534291735288517,-0.7853981633974483,0.8612563240809161,0.09602329576635589,0.0960232957663559,1.3877787807814457e-17,False,False,False
lifted_chart_linear,L,0.0,-0.7853981633974483,-0.7853981633974483,0,-pi/4,-pi/4,0.0,-0.3534291735288517,-0.39269908169872414,0.5283225808805718,0.11265617424104393,0.11265617424104395,1.3877787807814457e-17,False,False,False
lifted_chart_linear,L,0.0,-0.7853981633974483,0.0,0,-pi/4,0,0.0,-0.3534291735288517,0.0,0.3534291735288517,0.11868242788867843,0.11868242788867844,1.3877787807814457e-17,False,False,False
lifted_chart_linear,L,0.0,-0.7853981633974483,0.7853981633974483,0,-pi/4,pi/4,0.0,-0.3534291735288517,0.39269908169872414,0.5283225808805718,0.11265617424104393,0.11265617424104395,1.3877787807814457e-17,False,False,False
lifted_chart_linear,L,0.0,-0.7853981633974483,1.5707963267948966,0,-pi/4,pi/2,0.0,-0.3534291735288517,0.7853981633974483,0.8612563240809161,0.09602329576635589,0.0960232957663559,1.3877787807814457e-17,False,False,False
lifted_chart_linear,L,0.0,-0.7853981633974483,3.141592653589793,0,-pi/4,pi,0.0,-0.3534291735288517,1.5707963267948966,1.610066234964769,0.04766370674856499,0.04766370674856499,0.0,False,False,False
lifted_chart_linear,L,0.0,-0.7853981633974483,4.71238898038469,0,-pi/4,3pi/2,0.0,-0.3534291735288517,2.356194490192345,2.382554229459227,0.010325698137717955,0.010325698137717956,1.734723475976807e-18,False,False,False
lifted_chart_linear,L,0.0,-0.7853981633974483,6.283185307179586,0,-pi/4,2pi,0.0,-0.3534291735288517,3.141592653589793,3.161410536736829,4.862292538543925e-06,4.862292538543925e-06,0.0,False,False,False
lifted_chart_linear,L,0.0,0.0,-6.283185307179586,0,0,-2pi,0.0,0.0,-3.141592653589793,3.141592653589793,1.8804732749361216e-34,1.8804732749361242e-34,2.565854121688508e-49,False,True,True
lifted_chart_linear,L,0.0,0.0,-4.71238898038469,0,0,-3pi/2,0.0,0.0,-2.356194490192345,2.356194490192345,0.011145330200657156,0.011145330200657158,1.734723475976807e-18,False,False,False
lifted_chart_linear,L,0.0,0.0,-3.141592653589793,0,0,-pi,0.0,0.0,-1.5707963267948966,1.5707963267948966,0.050153985902957186,0.050153985902957214,2.7755575615628914e-17,False,False,False
lifted_chart_linear,L,0.0,0.0,-1.5707963267948966,0,0,-pi/2,0.0,0.0,-0.7853981633974483,0.7853981633974483,0.10030797180591439,0.1003079718059144,1.3877787807814457e-17,False,False,False
lifted_chart_linear,L,0.0,0.0,-0.7853981633974483,0,0,-pi/4,0.0,0.0,-0.39269908169872414,0.39269908169872414,0.11751809893953322,0.11751809893953324,2.7755575615628914e-17,False,False,False
lifted_chart_linear,L,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.12375000000000001,0.12375000000000001,0.0,True,False,False
lifted_chart_linear,L,0.0,0.0,0.7853981633974483,0,0,pi/4,0.0,0.0,0.39269908169872414,0.39269908169872414,0.11751809893953322,0.11751809893953324,2.7755575615628914e-17,False,False,False
lifted_chart_linear,L,0.0,0.0,1.5707963267948966,0,0,pi/2,0.0,0.0,0.7853981633974483,0.7853981633974483,0.10030797180591439,0.1003079718059144,1.3877787807814457e-17,False,False,False
lifted_chart_linear,L,0.0,0.0,3.141592653589793,0,0,pi,0.0,0.0,1.5707963267948966,1.5707963267948966,0.050153985902957186,0.050153985902957214,2.7755575615628914e-17,False,False,False
