family,dimension_family,free_variables,held_variables,resolution,sample_count,approx_unique_q_count_8dp,singular_fraction,vacuum_hit_count,sign_flip_hit_count,norm_min,norm_max,R_min,R_max,jac_abs_min,jac_abs_max
periodic_harmonic,3D,omega|theta|phi,rho,65,274625,29791,0.0,125,0,0.7911455020337579,1.26398999606185,0.0,3.120516217305086,6.753778089754076e-08,16.867642513691546
periodic_harmonic,4D,omega|theta|phi|rho,,11,14641,625,0.0,81,0,0.7934567301141158,1.260308170624728,0.0,3.091553649146793,9.222642461170502e-06,3.1671868263972014
periodic_harmonic,4D,omega|theta|phi|rho,,17,83521,1715,0.0,625,0,0.8094329354013697,1.2354328027239645,0.0,3.274503255117253,6.623093824315714e-22,12.207360000000008
periodic_harmonic,4D,omega|theta|phi|rho,,33,1185921,30375,0.0,625,0,0.7911455020337579,1.26398999606185,0.0,3.4576876424379437,9.712058093708808e-23,16.867642513691546
lifted_chart_linear,1D,omega,theta|phi|rho,65,65,65,0.0,1,0,0.47048921771981794,2.125447220334627,0.0,0.0,0.0007276543902351705,0.3030593959980499
lifted_chart_linear,1D,theta,omega|phi|rho,65,65,65,0.0,1,0,1.0,1.0,0.0,3.455751918948773,1.459254813828058e-07,0.01485
lifted_chart_linear,1D,phi,omega|theta|rho,65,65,65,0.0,1,0,1.0,1.0,0.0,2.827433388230814,0.00017738072170043128,0.01485
lifted_chart_linear,1D,rho,omega|theta|phi,65,65,64,0.03076923076923077,1,2,1.0,1.0,0.0,3.141592653589793,2.2565679299233488e-35,0.01485
lifted_chart_linear,1D,omega,theta|phi|rho,257,257,257,0.0,1,0,0.47048921771981794,2.125447220334627,0.0,0.0,0.0007276543902351705,0.3030593959980499
lifted_chart_linear,1D,theta,omega|phi|rho,257,257,257,0.0,1,0,1.0,1.0,0.0,3.455751918948773,1.459254813828058e-07,0.01485
lifted_chart_linear,1D,phi,omega|theta|rho,257,257,257,0.0,1,0,1.0,1.0,0.0,2.827433388230814,0.00017738072170043128,0.01485
lifted_chart_linear,1D,rho,omega|theta|phi,257,257,256,0.007782101167315175,1,2,1.0,1.0,0.0,3.141592653589793,2.2565679299233488e-35,0.01485
lifted_chart_linear,1D,omega,theta|phi|rho,1025,1025,1025,0.0,1,0,0.47048921771981794,2.125447220334627,0.0,0.0,0.0007276543902351705,0.3030593959980499
lifted_chart_linear,1D,theta,omega|phi|rho,1025,1025,1025,0.0,1,0,1.0,1.0,0.0,3.455751918948773,1.4189719930108708e-08,0.01485
lifted_chart_linear,1D,phi,omega|theta|rho,1025,1025,1025,0.0,1,0,1.0,1.0,0.0,2.827433388230814,0.00017738072170043128,0.01485
lifted_chart_linear,1D,rho,omega|theta|phi,1025,1025,1024,0.001951219512195122,1,2,1.0,1.0,0.0,3.141592653589793,2.2565679299233488e-35,0.01485
lifted_chart_linear,2D,omega|theta,phi|rho,33,1089,1089,0.0,1,0,0.47048921771981794,2.125447220334627,0.0,3.455751918948773,6.660418844773367e-07,0.3030593959980499
lifted_chart_linear,2D,omega|phi,theta|rho,33,1089,1089,0.0,1,0,0.47048921771981794,2.125447220334627,0.0,2.827433388230814,8.69170780393278e-06,0.3030593959980499
lifted_chart_linear,2D,omega|rho,theta|phi,33,1089,1056,0.06060606060606061,1,2,0.47048921771981794,2.125447220334627,0.0,3.141592653589793,1.105724956951256e-36,0.3030593959980499
lifted_chart_linear,2D,theta|phi,omega|rho,33,1089,1089,0.0,1,0,1.0,1.0,0.0,4.465042092769171,6.1570767172096595e-09,0.01485
lifted_chart_linear,2D,theta|rho,omega|phi,33,1089,1088,0.0018365472910927456,1,2,1.0,1.0,0.0,4.670313236433664,2.2565679299233488e-35,0.01485
lifted_chart_linear,2D,phi|rho,omega|theta,33,1089,1088,0.0018365472910927456,1,2,1.0,1.0,0.0,4.226580647044575,2.2565679299233488e-35,0.01485
lifted_chart_linear,2D,omega|theta,phi|rho,129,16641,16641,0.0,1,0,0.47048921771981794,2.125447220334627,0.0,3.455751918948773,7.150391728981768e-09,0.3030593959980499
lifted_chart_linear,2D,omega|phi,theta|rho,129,16641,16641,0.0,1,0,0.47048921771981794,2.125447220334627,0.0,2.827433388230814,8.69170780393278e-06,0.3030593959980499
lifted_chart_linear,2D,omega|rho,theta|phi,129,16641,16512,0.015503875968992248,1,2,0.47048921771981794,2.125447220334627,0.0,3.141592653589793,1.105724956951256e-36,0.3030593959980499
lifted_chart_linear,2D,theta|phi,omega|rho,129,16641,16641,0.0,1,0,1.0,1.0,0.0,4.465042092769171,2.124432085063266e-10,0.01485
lifted_chart_linear,2D,theta|rho,omega|phi,129,16641,16640,0.00012018508503094766,1,2,1.0,1.0,0.0,4.670313236433664,2.2565679299233488e-35,0.01485
lifted_chart_linear,2D,phi|rho,omega|theta,129,16641,16640,0.00012018508503094766,1,2,1.0,1.0,0.0,4.226580647044575,2.2565679299233488e-35,0.01485
lifted_chart_linear,2D,omega|theta,phi|rho,257,66049,66049,0.0,1,0,0.47048921771981794,2.125447220334627,0.0,3.455751918948773,7.150391728981768e-09,0.3030593959980499
lifted_chart_linear,2D,omega|phi,theta|rho,257,66049,66049,0.0,1,0,0.47048921771981794,2.125447220334627,0.0,2.827433388230814,8.69170780393278e-06,0.3030593959980499
lifted_chart_linear,2D,omega|rho,theta|phi,257,66049,65792,0.007782101167315175,1,2,0.47048921771981794,2.125447220334627,0.0,3.141592653589793,1.105724956951256e-36,0.3030593959980499
lifted_chart_linear,2D,theta|phi,omega|rho,257,66049,66049,0.0,1,0,1.0,1.0,0.0,4.465042092769171,4.732563852262077e-11,0.01485
lifted_chart_linear,2D,theta|rho,omega|phi,257,66049,66048,3.0280549289164105e-05,1,2,1.0,1.0,0.0,4.670313236433664,2.2565679299233488e-35,0.01485
lifted_chart_linear,2D,phi|rho,omega|theta,257,66049,66048,3.0280549289164105e-05,1,2,1.0,1.0,0.0,4.226580647044575,2.2565679299233488e-35,0.01485
lifted_chart_linear,3D,theta|phi|rho,omega,17,4913,4912,0.0004070832485243232,1,2,1.0,1.0,0.0,5.459505956704312,2.2565679299233488e-35,0.01485
lifted_chart_linear,3D,omega|phi|rho,theta,17,4913,4896,0.006920415224913495,1,2,0.47048921771981794,2.125447220334627,0.0,4.226580647044575,1.105724956951256e-36,0.3030593959980499
lifted_chart_linear,3D,omega|theta|rho,phi,17,4913,4896,0.006920415224913495,1,2,0.47048921771981794,2.125447220334627,0.0,4.670313236433664,1.105724956951256e-36,0.3030593959980499
